date;day;month;quarter;year;week_of_year;day_of_week;is_weekend
2019-04-24;24;4;2;2019;17;3;False
2019-04-25;25;4;2;2019;17;4;False
2019-04-26;26;4;2;2019;17;5;False
2019-04-27;27;4;2;2019;17;6;True
2019-04-28;28;4;2;2019;17;7;True
2019-04-29;29;4;2;2019;18;1;False
2019-04-30;30;4;2;2019;18;2;False
2019-05-01;1;5;2;2019;18;3;False
2019-05-02;2;5;2;2019;18;4;False
2019-05-03;3;5;2;2019;18;5;False
2019-05-04;4;5;2;2019;18;6;True
2019-05-05;5;5;2;2019;18;7;True
2019-05-06;6;5;2;2019;19;1;False
2019-05-07;7;5;2;2019;19;2;False
2019-05-08;8;5;2;2019;19;3;False
2019-05-09;9;5;2;2019;19;4;False
2019-05-10;10;5;2;2019;19;5;False
2019-05-11;11;5;2;2019;19;6;True
2019-05-12;12;5;2;2019;19;7;True
2019-05-13;13;5;2;2019;20;1;False
2019-05-14;14;5;2;2019;20;2;False
2019-05-15;15;5;2;2019;20;3;False
2019-05-16;16;5;2;2019;20;4;False
2019-05-17;17;5;2;2019;20;5;False
2019-05-18;18;5;2;2019;20;6;True
2019-05-19;19;5;2;2019;20;7;True
2019-05-20;20;5;2;2019;21;1;False
2019-05-21;21;5;2;2019;21;2;False
2019-05-22;22;5;2;2019;21;3;False
2019-05-23;23;5;2;2019;21;4;False
2019-05-24;24;5;2;2019;21;5;False
2019-05-25;25;5;2;2019;21;6;True
2019-05-26;26;5;2;2019;21;7;True
2019-05-27;27;5;2;2019;22;1;False
2019-05-28;28;5;2;2019;22;2;False
2019-05-29;29;5;2;2019;22;3;False
2019-05-30;30;5;2;2019;22;4;False
2019-05-31;31;5;2;2019;22;5;False
2019-06-01;1;6;2;2019;22;6;True
2019-06-02;2;6;2;2019;22;7;True
2019-06-03;3;6;2;2019;23;1;False
2019-06-04;4;6;2;2019;23;2;False
2019-06-05;5;6;2;2019;23;3;False
2019-06-06;6;6;2;2019;23;4;False
2019-06-07;7;6;2;2019;23;5;False
2019-06-08;8;6;2;2019;23;6;True
2019-06-09;9;6;2;2019;23;7;True
2019-06-10;10;6;2;2019;24;1;False
2019-06-11;11;6;2;2019;24;2;False
2019-06-12;12;6;2;2019;24;3;False
2019-06-13;13;6;2;2019;24;4;False
2019-06-14;14;6;2;2019;24;5;False
2019-06-15;15;6;2;2019;24;6;True
2019-06-16;16;6;2;2019;24;7;True
2019-06-17;17;6;2;2019;25;1;False
2019-06-18;18;6;2;2019;25;2;False
2019-06-19;19;6;2;2019;25;3;False
2019-06-20;20;6;2;2019;25;4;False
2019-06-21;21;6;2;2019;25;5;False
2019-06-22;22;6;2;2019;25;6;True
2019-06-23;23;6;2;2019;25;7;True
2019-06-24;24;6;2;2019;26;1;False
2019-06-25;25;6;2;2019;26;2;False
2019-06-26;26;6;2;2019;26;3;False
2019-06-27;27;6;2;2019;26;4;False
2019-06-28;28;6;2;2019;26;5;False
2019-06-29;29;6;2;2019;26;6;True
2019-06-30;30;6;2;2019;26;7;True
2019-07-01;1;7;3;2019;27;1;False
2019-07-02;2;7;3;2019;27;2;False
2019-07-03;3;7;3;2019;27;3;False
2019-07-04;4;7;3;2019;27;4;False
